TIME,,C1,C2,,C4
01/06/2018 10:15,,409.526396,127.017274,,560.5618856
01/06/2018 10:20,,426.8699915,130.6244043,,565.1979405
01/06/2018 10:25,,426.8699915,130.6244043,,565.1979405
01/06/2018 10:30,,442.6431315,138.5953757,,576.6876345
01/06/2018 10:35,,442.6431315,138.5953757,,576.6876345
01/06/2018 10:40,,459.0992262,144.9682995,,584.9536945
01/06/2018 10:45,,459.0992262,144.9682995,,584.9536945
01/06/2018 10:50,,471.0509863,148.6876781,,590.6010249
01/06/2018 10:55,,471.0509863,148.6876781,,590.6010249
01/06/2018 11:00,,479.3227717,152.9460243,,594.908237
01/06/2018 11:05,,479.3227717,152.9460243,,594.908237
01/06/2018 11:10,,500.4176964,163.070447,,582.8953242
01/06/2018 11:15,,500.4176964,163.070447,,582.8953242
01/06/2018 11:20,,532.9621048,171.1772622,,590.3911371
01/06/2018 11:25,,532.9621048,171.1772622,,590.3911371
01/06/2018 11:30,,556.5963632,182.190404,,590.3911371
01/06/2018 11:35,,556.5963632,182.190404,,590.3911371
01/06/2018 11:40,,569.0963878,192.9254097,,589.3899702
01/06/2018 11:45,,569.0963878,192.9254097,,589.3899702
01/06/2018 11:50,,607.4506795,214.9540934,,591.2482182
01/06/2018 11:55,,607.4506795,214.9540934,,591.2482182
01/06/2018 12:00,,645.8318194,238.7129668,,584.926693
01/06/2018 12:05,,645.8318194,238.7129668,,584.926693
01/06/2018 12:10,,688.7907804,281.2025945,,587.962898
01/06/2018 12:15,,688.7907804,281.2025945,,587.962898
01/06/2018 12:20,,743.2367512,318.9055254,,588.8216963
01/06/2018 12:25,,743.2367512,318.9055254,,588.8216963
01/06/2018 12:30,,757.1515343,343.8667471,,584.8427776
01/06/2018 12:35,,757.1515343,343.8667471,,584.8427776
01/06/2018 12:40,,799.9100296,416.2403815,,586.2075746
01/06/2018 12:45,,799.9100296,416.2403815,,586.2075746
01/06/2018 12:50,,830.4618936,443.6930215,,585.5222665
01/06/2018 12:55,,830.4618936,443.6930215,,585.5222665
01/06/2018 13:00,,839.1958477,460.1906412,,570.9338257
01/06/2018 13:05,,839.1958477,460.1906412,,570.9338257
01/06/2018 13:10,,839.1958477,480.0904804,,568.1231659
01/06/2018 13:15,,837.7314538,480.0904804,,568.1231659
01/06/2018 13:20,,837.7314538,514.4454823,,576.3380552
01/06/2018 13:25,,838.2592437,514.4454823,,576.3380552
01/06/2018 13:30,,838.2592437,529.0057934,,577.1843468
01/06/2018 13:35,,829.9705776,529.0057934,,577.1843468
01/06/2018 13:40,,829.9705776,524.0994437,,571.8237521
01/06/2018 13:45,,809.2367203,524.0994437,,571.8237521
01/06/2018 13:50,,809.2367203,525.5156762,,566.7139942
01/06/2018 13:55,,799.4566602,525.5156762,,566.7139942
01/06/2018 14:00,,799.4566602,520.0819958,,578.6783433
01/06/2018 14:05,,770.3645683,520.0819958,,578.6783433
01/06/2018 14:10,,770.3645683,507.5395838,,574.1148341
01/06/2018 14:15,,745.9984958,507.5395838,,574.1148341
01/06/2018 14:20,,745.9984958,500.7909216,,567.1353898
01/06/2018 14:25,,701.1372469,500.7909216,,567.1353898
01/06/2018 14:30,,701.1372469,489.1044524,,556.1972541
01/06/2018 14:35,,663.0818779,489.1044524,,556.1972541
01/06/2018 14:40,,663.0818779,478.867974,,549.0296767
01/06/2018 14:45,,655.1137935,478.867974,,549.0296767
01/06/2018 14:50,,655.1137935,460.1082299,,552.2228085
01/06/2018 14:55,,625.3496245,460.1082299,,552.2228085
01/06/2018 15:00,,625.3496245,451.9449321,,532.2183716
01/06/2018 15:05,,617.3819715,451.9449321,,532.2183716
01/06/2018 15:10,,617.3819715,442.0056377,,516.9814745
01/06/2018 15:15,,610.0293408,442.0056377,,516.9814745
01/06/2018 15:20,,610.0293408,431.1184167,,501.2963072
01/06/2018 15:25,,607.8348371,431.1184167,,501.2963072
01/06/2018 15:30,,607.8348371,413.3036652,,494.2006144
01/06/2018 15:35,,599.9239952,413.3036652,,494.2006144
01/06/2018 15:40,,599.9239952,396.5064081,,477.2362899
